Id,Text,Rating
1,"I wish I could rate this app 0 stars, stop fake marketing y'all. Like that's insane , I suggest anyone reading this to not download it ! It's basically a fraud, in various ads they'll tell you 500 off on 865rs product if you wanted to redeem it you have to download the app and once you done it boom they'll tell you oh no! That's not available in this product, you have to shop above 1799 to apply this coupon. If that's the case don't show your banners that's it don't manipulate people out here.",1
2,"I ordered for the very first time from this app. Worst experience. Few items were missing from my order. When i had put in tha complaint all they could say was to return the package which was not feasible as i was not expecting that items would be missed. It has never happened with other websites n beauty apps, no matter how big the order was.",1
3,"The worst app ever!!!! Pathetic!! looks like scam!! First of all they delivered the wrong product. When I contacted them, they told me to return the product. I returned it. Then days after days passed and they didn't give the refund amount. Every time I contacted customer care service, they said to wait for 2-4 days and then after that it use to show refund failed. Then I contacted again. Again they said the same thing & this went on in loop!!!! But they don't give my money back!!!!",1
4,"Not even a single star ! The Same unresponsive, unreliable, laid-back Typical Reliance customer service. Same as their other vertical Zivame. Prepaid orders will get canceled and duplicate products are shipped. Try Returns and they will delay by asking for product images till the window date for return expires and then refuse . Typical Substandard service.",1
5,"Tira app seems an interesting app however it is poor in service. The products are missing in packages. Customer care does not resolve the concerns. However they give an irrelevant advices on the problem,apart from our actual problem. I,personally had a bad experience ordering on this site fir first time. I don't recommend this app to anyone.Since there are better applications in market,providing better services and satisfying product delivery. Practically,they are poor in service.Wrong delivery",1
6,Has the worst glitches and the customer support is pathetic. A day before my order was supposed to arrive they just cancelled it and when I asked the customer support for help they said that I had to reorder. The exact products I had ordered went out of stock and the next time I went to support they just closed the chat in between. A very pathetic first experience with such a reputed brand.,1
7,The app isn't working I ordered an eyeshadow palette and it came damaged in transit. The return menu doesn't work and keeps telling me to try later. There is no option to contact anyone. I am very disappointed and wouldn't suggest anyone to buy products from Tira. *Update* After emailing Tira multiple times and constantly sending them proof of the damaged product and sending many emails. Even after 7+ days. They haven't replied or solved my problem. Pls don't buy from them and waste your money.,1
8,Horrible service!! Would never order nor recommend anyone to use this app. the delivery was delayed by 6 days and no action was taken by the customer service even after registering multiple complaints. the delivery person kept hanging up whenever I tried to call (got the number from the automated SMS service) or would tell me the package isn't with him. I prefer the existing online stores like Nykaa instead of this it is a pure waste of time. uninstalling it right away!,1
9,"The service is trash and so insincere, i tried to return the products and one of them was wrong too but even after I sent the email many times with pictures i only got ai generated answers saying that they didn't understand my concern, i initiated the return nearly 6 days ago and there is no proper reply even the option chat with an agent seems fake everything is a scan please don't use this people this is a total scam and trashy app.",1
10,"Terrible customer support. Refund not received. I have never had such experience in any online shopping sites. Tira customer support do good lip service. Ticket raised get closed without resolution. Nearly 2 months since returning I'm yet to get full refund. Weekly I have to call. Displayed items and delivered differ. Anything free mentioned, they won't give. If you complain, nothing will happen. Tira support can do mechanical things, can't think or provide solutions. It's like talking to robot.",1
11,"The app is very slow. Takes a loooong time to refresh. Options are limited. Moreover every time you come out from the App, the login details go away. You hv to give your credentials each time.! What's the need in coming up with such App, if it's so frustrating to operate",2
12,Placed my order on tira on 29th of Oct. It's already past my due for delivery. My order is not yet delivered. I ordered it as a gift for someone and now it's a disaster since the delivery it taking forever. The customer care has not been helpful as well. The app shows that my order is at the nearest delivery hub since days. Cannot raise tickets or get help. Limited options. Definitely not using this app again in the future. Edit: coustomer care service keep ending conversation. No one responds.,1
13,A very bad experience with such growing platform for the first time. I'm a regular prive customer of nykaa since ages and it has always been the best experience. But this was the 1st time I went with ur app since my friends and colleagues suggested me to do so. When I carted a decent amount of around 2.8k-2.9k in my acc. I went ahead and chose apply coupon and it was so bad that even aftr displaying so many coupons none of them were working. Worst experience. Ws8 of time and efforts. Dont fool??,1
14,"Last month I ordered from Tira 4 products, out of which 2 I have returned 1. Serum - Pilgrim 2. Oil - Soulflower I returned it but didn't get a refund. I tried connecting on call they said they would refund me in 2 days and so on. It is been 15 days since I have been struggling. I kept mailing, I shared the delivery numbers tickets 10 times( what I got, we were closing tickets) It was a bad experience buying from tira. Worst policy, I am still struggling to get my money back Worst",1
15,Where the heck is the search option in the app? One just has to scroll for different options! Can we not get straight to the point and search for products that we want!!! Very poor app drafting!',1
16,worst site ever. it's been 25 days I haven't received my order. their customer support just keeps on saying to wait. they are not even giving tracking order details. I spend 4000 on it. don't know if they plan to send me my order ever. plz don't order from this site. nyka and purple are so much better than this,1
17,"Very pathetic service I ordered lakme highlighter in the shade ""rose gold"" and I was delivered shade ""Ivory"". Sadly the invoice bill I received with the package is also showing shade ""Ivory"" and my order history in the app is ""Rose gold"". On issuing a return request with pictures of both the bill and the product received, they are asking me to attach more pictures. This basic problem and that has been done from their side, they are troubling the customer. Still the problem is not resolved.",1
18,"Services are not well provided. In context of placing order, initiating returns, applying coupon every thing is very slow, basically you can't do anything on this app. And specially how they tend to ignore customer's problem.",1
19,"Most disgusting app I ever come through, I ordered a product it was completely damaged, it took me more than 25 calls to get the pick up done , it took them more than month to take a pickup of the damaged product, all they know is to raise unnecessary 'tickets ' no solution then it took them another 1 month to process the refund. Pathetic service, in addition I have to even face the unacceptable mood and behaviour of their delivery partner, I will never in my life will recommend this app.",1
20,"The worst app.I ordered few items which were supposed to come twice,i received my 1st order and it was good and I felt happy coz it was my 1st time ordering from Tira.but the 2nd batch was too late and they said us to collect from the place which was almost 14 km far and they said delivery not available for our place.so I requested dear Tira app to mention whether delivery is available or not to our place before accepting our order. Thank you.",1
21,"There will offer and once you go for payment, it shows you can't proceed with the offer. I have tried all payment method for all it shows the same thing. And there is no proper service and it's slow.",1
22,"I placed my first order and its been more than 15 days its not delivered yet. There is no proper customer service to address the issue, horrible experience. I'm never ordering from this app again I'll stick to Nykaa and purplle. You guys need to focus on delivering the service you promise instead of spending so much on marketing. Very much disappointed!!",1
23,"Useless and kinda fraud app. No customer support available. They assure for return and exchange but practically they delete the order and return request from their plateform. Cheap products are with higher price. Non reliable, fraud app. So be aware before installing this app.",1
24,"This is the worst app I ever used , customer care is pathetic, I have tried to place request just on the next day I receive the package , multiple request, mails , literally Not a single reply from their side.. The amount of money you are spending on PR and advertising better to use it on your customer service.",1
25,"The application's service was disappointing. I ordered multiple items, but during my second delivery, the courier man asked for Aadhaar card, signature, and even my mobile number which was soo risky. This wasn't part of the process. I had to comply due to a prepaid order, risking my privacy. Please review your procedures; such demands shouldn't be made. I wanted to inform you to verify and rectify this issue.",1
26,Tira is a nice app for your shopping needs. It provides nice discounts with a large variety of products. Products stock in frequently so you are never out of stock. It is worth shopping with.,5
27,"Worst app. Their customer support is very poor. I ordered cc cream bronze and they delivered beige shade of Lakme. I tried to escalate the issue on their app, and entered all the details with photo of the product. But it's not getting submitted. Customer care number is also not their, from which you can raise a complaint. So think twice before buying products from here.",1
28,Love the app and the range of products. I was so confused on where to order from since I have stopped using Nykaa because of a few bad experiences and knowing that some of their products aren't original. Came across Tira and loved everything about the app. Keep up the good work!,5
29,"Worst app ever don't fall for the discount. It took them 4 5 days just to process the order and 7 days to deliver . ( the longest time any app took to deliver ) . Than when I returned , it's 7 days since I requested a return but it's not yet processed.....even the support team takes ages to respond. Worst experience ??",1
30,"App is good, interface is good, but everytime I close it and open again, my cart gets empty. Also I'm unable to checkout as it says login required but I'm already logged in. If you could please suggest a solution to me or maybe fix it if it's a bug. Otherwise the app is BANG ON!!",3
31,I had placed an order for 9 items 4 days ago and only one of those items have been shipped yet. The remaining 8 products HAVE NOT EVEN BEEN PROCESSED OR SHIPPED YET. I tried contacting customer support a million times but they refuse to be of any help. I spent my hard earned money on this order and now I have no idea what to do. I would suggest TO NEVER SHOP from this app as this smells highly of FRAUD. They will lure you with offers and CHEAT YOU.,1
32,"Product not delivered and marked as delivered. There's nothing you can do. No OTP is sent before delivery. No calls are made and orders are handed over to some random people and marked as delivered. Looking at other reviews here, I'm not the only one... I think they run a scam.",1
33,The shopping experience is extremely smooth and offers a wide range and variety of products. The products which aren't available anywhere can be found on Tira and not to miss at great offers. I sincerely hope that Tira doesn't become like Nykaa that once it gains humongous popularity it forgets its loyal customers,5
34,Very very bad experience...will never order from tira it's been 10 days since I placed an order and there is no news of it . To top it all there is excellent customer support which will provide half resolution,1
35,"I only purchased once and experience was not upto the mark. Delivery was good, delivered early. I think App is not user friendly like other apps in this industry. Not showing detailed order details & tracking the pakage was missing.",2
36,"Really bad service, 9 days since order placed, still not shipped. Update: Order cancelled by Tira after 12 days, no specific reason. Product is still in stock and I can add upto 6 of those (max limit per customer). Pathetic customer experience and even worse customer support.",1
37,"Ordered for the first time with tira and had the worst experience.the order is not showing can\'t track no history they raised ticketa but never call to resolve or to follow up for the issue...just so pathetic if you want fast delivery hassle free experience and good customer service never ever choose"" TIRA ""'",1
38,"The order takes forever to get delivered. Other apps like nykaa are better alternatives if you want a quick delivery. There's no point of waving off 500 rs on orders above 1799 when all the products are on MRP, same products would cost you the same at other apps too as they already give discount on MRP. no discount as such, limited brands and products. The call centre and help section is totally a mess and a waste. No proper customer support system is there.",2
39,It's a very worst experience with you. I ordered 3k rupees of product but I get a one different product and another one missing. Their customers support team denied to return or refund my product. It's really ghatiya service and their executive are too arogant. Please don't buy anything from tira to waste your money. Their products are expensive compare to another shopping apps.,1
40,This app take forever to open. Whenever I try to click on my order it shows something is wrong. The amount you have spent on advertisement should have been spent on developing this app.,1
41,"I tried to apply the coupon but due to a net issue my payment didn\'t go through. When I tried again, it said that my coupon has been ""consumed"". Don\'t think that\'s how coupons work, probably a technical issue, please look into it.",3
42,I am writing this review after getting highly disappointed with thier services. I was under impression that this app is much better than Nykaa or other beauty app but very sorry to say that the way they are handling my grievance is beyond my imagination. I had ordered products worth 4 to 5k from this app and recieved the items except one product to which I had written them but they are not addressing the issue instead just harassing me like anything. Im never gonna order from this app now.,1
43,"Worst experience ever Never going to use it. My entire package had missing items I didn't get any product I ordered nor did I get my money back. Customer care is not helpful too. No proper solution was provided to me even after talking to them so many times on chat, on phone call and even on email. I am really disappointed as a first time user I was shocked that things like this never happened with me before. These guys are cheaters. They ate my money .. I should have stick to nykaa only.",1
44,"I have very bad experience in this site I have ordered insight lipstick which was broken so I returned it along with Maybelline black kajal on 12 oct but still my refund was not initiated for these two products. It has been 11 days now from the day of my return. To get any updation regarding return or refund i have to call customer service again and again. Their customer representative only answer to wait . no updation get from their side through email, text or not even from their tira site.",1
45,"The app need to function properly. After some hours the orders are not showing. Then after reinstallation , the orders are showing. This proplem is happening continuously. Kindly improve.",2
46,"It seems all fraud vendors are onboarded here as other websites cancelled their registration??. I received a emply box of my product, the packet was sealed but when I opened the bottle it was filled only 25%. I requested my money back but not sure that they are going to refund it or not.",1
47,"TOTAL SCAM. Wish I had checked the reviews before which clearly shows they are outrageously looting customers. Been weeks order never got delivered nor did ever receive any shipping update. Their own app shows it's canceled from the merchant's end, their DP confirmed the same. Yet after repeated complaints they refuse to pay back the money disregarding every proof you see in their own portal & parroting same lines that they are working on it.They neither delivered nor refunded. Absolute FRAUDS.",1
48,Good app.... But really have few varieties... You don't have too much options ?? whatever I searched isn't available... When I searched Mars highlighter they only show me 1 option and that also not latest one...,3
49,"Very very bad service, I used the 1st time order coupon, but for some network issue the payment was not successful and so the order was not placed. After that I tried again but they show the coupon was consumed.! Very bad experience , after that I tried to delete my ac from tira, but the app sucks, after some try, Able to delete, not recommend at all..! Disgusting!'",1
